Estado - Sigla;Municipio;Revenda;Nome da Rua;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Unidade de Medida;Bandeira
SP;CAMPINAS;POSTO AVENIDA SOUSAS LTDA;AVENIDA ANTONIO CARLOS COUTO DE BARROS;JARDIM CONCEICAO (SOUSAS);13105-000;ETANOL;13/01/2021;3,197;R$ / litro;RAIZEN
SP;CAMPINAS;AUTO POSTO SOLARIS DE CAMPINAS LTDA.;AVENIDA JOHN BOYD DUNLOP;CIDADE SATELITE IRIS;13059-587;GASOLINA;13/01/2021;4,297;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO SOLARIS DE CAMPINAS LTDA.;AVENIDA JOHN BOYD DUNLOP;CIDADE SATELITE IRIS;13059-587;ETANOL;13/01/2021;2,997;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO JARDIM DOM BOSCO LTDA;AVENIDA NOSSA SRA DE FATIMA;JD DOM BOSCO;13024-500;GASOLINA;13/01/2021;4,159;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO JARDIM DOM BOSCO LTDA;AVENIDA NOSSA SRA DE FATIMA;JD DOM BOSCO;13024-500;ETANOL;13/01/2021;2,959;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO PENTA 2002 LTDA;RUA JOAQUIM MANUEL DE MACEDO;JD. SANTA GENEBRA;13080-470;GASOLINA;13/01/2021;4,099;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO PENTA 2002 LTDA;RUA JOAQUIM MANUEL DE MACEDO;JD. SANTA GENEBRA;13080-470;ETANOL;13/01/2021;2,899;R$ / litro;BRANCA
SP;CAMPINAS;POSTO WASHINGTON LUIZ LTDA;AVENIDA WASHINGTON LUIZ;JARDIM LEONOR;13043-000;GASOLINA;13/01/2021;4,199;R$ / litro;RAIZEN
SP;CAMPINAS;POSTO WASHINGTON LUIZ LTDA;AVENIDA WASHINGTON LUIZ;JARDIM LEONOR;13043-000;ETANOL;13/01/2021;2,999;R$ / litro;RAIZEN
SP;CAMPINAS;AUTO POSTO 2002 DE CAMPINAS LTDA;AVENIDA PRINCESA D'OESTE;JD PARAISO;13026-137;GASOLINA;13/01/2021;4,299;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO POIARES LTDA;AVENIDA MONSENHOR GERONIMO BAGGIO;VILA NOVA;13075-350;GASOLINA;13/01/2021;4,157;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO POIARES LTDA;AVENIDA MONSENHOR GERONIMO BAGGIO;VILA NOVA;13075-350;ETANOL;13/01/2021;2,957;R$ / litro;BRANCA
SP;CAMPINAS;COMERCIAL JARDIM AURELIA DE CAMPINAS LTDA;AVENIDA JOSE PANCETTI;VILA PROOST DE SOUZA;13033-740;GASOLINA;13/01/2021;4,179;R$ / litro;BRANCA
SP;CAMPINAS;COMERCIAL JARDIM AURELIA DE CAMPINAS LTDA;AVENIDA JOSE PANCETTI;VILA PROOST DE SOUZA;13033-740;ETANOL;13/01/2021;2,979;R$ / litro;BRANCA
SP;CAMPINAS;AUTO POSTO CAMPO DOS AMARAIS LTDA;RUA SYLVIA DA SILVA BRAGA;JD SAO MARCOS;13082-105;GASOLINA;13/01/2021;4,279;R$ / litro;IPIRANGA
SP;CAMPINAS;AUTO POSTO CAMPO DOS AMARAIS LTDA;RUA SYLVIA DA SILVA BRAGA;JD SAO MARCOS;13082-105;ETANOL;13/01/2021;2,999;R$ / litro;IPIRANGA
SP;CAMPINAS;CAMPINAS MODELO AUTO POSTO LTDA;RUA PADRE MANOEL BERNARDES;JD NS AUXILIADORA;13087-320;GASOLINA;13/01/2021;4,299;R$ / litro;IPIRANGA
SP;CAMPINAS;CAMPINAS MODELO AUTO POSTO LTDA;RUA PADRE MANOEL BERNARDES;JD NS AUXILIADORA;13087-320;ETANOL;13/01/2021;2,999;R$ / litro;IPIRANGA
